Kolera (cholera)|A00
utslett|L44.4
Andre spesifiserte papuloskvamøse lidelser|L44.8
Uspesifisert papuloskvamøs lidelse|L44.9
Papuloskvamøse lidelser ved sykdommer klassifisert annet sted|L45 *
Urticaria|L50
elveblest|L50
neslefeber|L50
Urticaria og erytem|L50-L54
elveblest|L50-L54
erythema|L50-L54
neslefeber|L50-L54
Allergisk urticaria|L50.0
elveblest|L50.0
neslefeber|L50.0
Idiopatisk urticaria|L50.1
elveblest|L50.1
neslefeber|L50.1
Urticaria som skyldes kulde og varme|L50.2
elveblest|L50.2
neslefeber|L50.2
Dermatografisk urticaria|L50.3
dermografisme|L50.3
elveblest|L50.3
neslefeber|L50.3
Vibrasjonsurticaria|L50.4
elveblest|L50.4
neslefeber|L50.4
Cholinerg urticaria|L50.5
elveblest|L50.5
neslefeber|L50.5
Kontakturticaria|L50.6
elveblest|L50.6
neslefeber|L50.6
Annen spesifisert urticaria|L50.8
elveblest|L50.8
neslefeber|L50.8
Uspesifisert urticaria|L50.9
elveblest|L50.9
neslefeber|L50.9
Erythema multiforme|L51
Ikke-bulløst erythema multiforme|L51.0
Bulløst erythema multiforme|L51.1
Toksisk epidermal nekrolyse [Lyell]|L51.2
ssss|L51.2
Annet spesifisert erythema multiforme|L51.8
Uspesifisert erythema multiforme|L51.9
Erythema nodosum|L52
Andre erytematøse tilstander|L53
erythema|L53
Toksisk erytem|L53.0
erythema|L53.0
Erythema annulare centrifugum|L53.1
Erythema marginatum|L53.2
Annet kronisk figurformet erytem|L53.3
erythema|L53.3
Andre spesifiserte erytematøse tilstander|L53.8
erythema|L53.8
Uspesifisert erytematøs tilstand|L53.9
erytem|L53.9
erythema|L53.9
erytrodermi|L53.9
Erytem ved sykdommer klassifisert annet sted|L54 *
erythema|L54 *
Erythema marginatum ved giktfeber (I00†)|L54.0 *
febris rheumatica|L54.0 *
giktfeber|L54.0 *
reumatisk feber|L54.0 *
Erytem ved andre sykdommer klassifisert annet sted|L54.8 *
erythema|L54.8 *
Solforbrenning|L55
Strålingsrelaterte lidelser i hud og underhud|L55-L59
cutan|L55-L59
kutan|L55-L59
Solforbrenning av første grad|L55.0
Solforbrenning av andre grad|L55.1
Solforbrenning av tredje grad|L55.2
Annen spesifisert solforbrenning|L55.8
Uspesifisert solforbrenning|L55.9
Andre akutte hudforandringer som skyldes ultrafiolett stråling|L56
cutan|L56
kutan|L56
Fototoksisk legemiddelreaksjon|L56.0
medikament|L56.0
Fotoallergisk legemiddelreaksjon|L56.1
medikament|L56.1
Fotokontaktdermatitt [berloque-dermatitt]|L56.2
dermatitis|L56.2
eczema|L56.2
enantem|L56.2
utslett|L56.2
Solutløst urticaria|L56.3
elveblest|L56.3
neslefeber|L56.3
Polymorf lyseksem|L56.4
Andre spesifiserte akutte hudforandringer som skyldes ultrafiolett stråling|L56.8
cutan|L56.8
kutan|L56.8
Uspesifisert akutt hudforandring som skyldes ultrafiolett stråling|L56.9
cutan|L56.9
kutan|L56.9
Hudforandringer som skyldes kronisk eksposisjon for ikke-ioniserende stråling|L57
cutan|L57
kutan|L57
Aktinisk keratose|L57.0
Aktinisk retikuloid|L57.1
Cutis rhomboidalis nuchae|L57.2
Civattes poikiloderma|L57.3
Cutis laxa senilis|L57.4
Aktinisk granulom|L57.5
Andre spesifiserte hudforandringer som skyldes kronisk eksposisjon for ikke-ioniserende stråling|L57.8
cutan|L57.8
kutan|L57.8
Uspesifisert hudforandring som skyldes kronisk eksposisjon for ikke-ioniserende stråling|L57.9
cutan|L57.9
kutan|L57.9
Radiodermatitt|L58
dermatitis|L58
eczema|L58
enantem|L58
utslett|L58
Akutt radiodermatitt|L58.0
dermatitis|L58.0
eczema|L58.0
enantem|L58.0
utslett|L58.0
Kronisk radiodermatitt|L58.1
dermatitis|L58.1
eczema|L58.1
enantem|L58.1
utslett|L58.1
Uspesifisert radiodermatitt|L58.9
dermatitis|L58.9
eczema|L58.9
enantem|L58.9
utslett|L58.9
Andre strålingsrelaterte lidelser i hud og underhud|L59
cutan|L59
kutan|L59
Varmeerytem (erythema ab igne)|L59.0
erythema|L59.0
Andre spesifiserte strålingsrelaterte lidelser i hud og underhud|L59.8
cutan|L59.8
kutan|L59.8
Uspesifisert strålingsrelatert lidelse i hud og underhud|L59.9
cutan|L59.9
kutan|L59.9
Neglelidelser|L60
Lidelser i negler, hår og hudens kjertler|L60-L75
cutan|L60-L75
kutan|L60-L75
Inngrodd negl|L60.0
inngrodd negl|L60.0
nedgrodd negl|L60.0
unguis incarnatus|L60.0
Onykolyse|L60.1
Onykogrypose|L60.2
Negledystrofi|L60.3
dystrophia|L60.3
Beaus linjer|L60.4
Gule negler-syndrom|L60.5
Andre spesifiserte neglelidelser|L60.8
Uspesifisert neglelidelse|L60.9
Neglelidelser ved sykdommer klassifisert annet sted|L62 *
«Clubbing» av negler ved pakydermoperiostose (M89.4†)|L62.0 *
Neglelidelser ved andre sykdommer klassifisert annet sted|L62.8 *
Flekkvis alopesi (alopecia areata)|L63
alopecia|L63
håravfall|L63
Alopecia (capitis) totalis|L63.0
Alopecia universalis|L63.1
Ophiasis|L63.2
Annen spesifisert flekkvis alopesi|L63.8
alopecia|L63.8
håravfall|L63.8
Uspesifisert flekkvis alopesi|L63.9
alopecia|L63.9
håravfall|L63.9
Androgen alopesi (alopecia androgenica)|L64
alopecia|L64
håravfall|L64
Legemiddelutløst androgen alopesi|L64.0
alopecia|L64.0
håravfall|L64.0
medikament|L64.0
Annen spesifisert androgen alopesi|L64.8
alopecia|L64.8
håravfall|L64.8
Uspesifisert androgen alopesi|L64.9
alopecia|L64.9
håravfall|L64.9
Annet hårtap uten arrdannelse|L65
Telogen effluvium|L65.0
Anagen effluvium|L65.1
Mucinøs alopesi|L65.2
alopecia|L65.2
håravfall|L65.2
Annet spesifisert hårtap uten arrdannelse|L65.8
Uspesifisert hårtap uten arrdannelse|L65.9
Alopesi med arrdannelse [arrdannende hårtap]|L66
alopecia|L66
håravfall|L66
hårtap arrdannende|L66
Pseudopelade|L66.0
Lichen planopilaris|L66.1
Folliculitis decalvans|L66.2
Perifolliculitis capitis abscedens|L66.3
Folliculitis ulerythematosa reticulata|L66.4
Annen spesifisert alopesi med arrdannelse|L66.8
alopecia|L66.8
håravfall|L66.8
hårtap arrdannende|L66.8
Uspesifisert alopesi med arrdannelse|L66.9
alopecia|L66.9
håravfall|L66.9
hårtap arrdannende|L66.9
Abnormiteter ved hårfarge og hårskaft|L67
Trichorrhexis nodosa|L67.0
Variasjoner i hårfarge|L67.1
Andre spesifiserte abnormiteter ved hårfarge og hårskaft|L67.8
Uspesifisert abnormitet ved hårfarge og hårskaft|L67.9
Hypertrikose|L68
overdreven hårvekst|L68
Hirsutisme|L68.0
Hypertrichosis lanuginosa acquisita|L68.1
Lokalisert hypertrikose|L68.2
overdreven hårvekst|L68.2
Polytriki|L68.3
Annen spesifisert hypertrikose|L68.8
overdreven hårvekst|L68.8
Uspesifisert hypertrikose|L68.9
overdreven hårvekst|L68.9
Akne|L70
acne|L70
Acne vulgaris|L70.0
Acne conglobata|L70.1
Acne varioliformis|L70.2
Acne tropica|L70.3
Infantil akne|L70.4
acne|L70.4
«Acné excoriée des jeunes filles»|L70.5
Annen spesifisert akne|L70.8
acne|L70.8
Uspesifisert akne|L70.9
acne|L70.9
Rosacea|L71
Perioral dermatitt (dermatitis perioralis)|L71.0
dermatitis|L71.0
eczema|L71.0
enantem|L71.0
utslett|L71.0
Rinofyma|L71.1
rhino|L71.1
Annen spesifisert rosacea|L71.8
Uspesifisert rosacea|L71.9
Follikulære cyster i hud og underhud|L72
cutan|L72
kutan|L72
Epidermalcyste|L72.0
Retensjonscyste i talgkjertel eller hårsekk|L72.1
Steatocystoma multiplex|L72.2
Andre spesifiserte follikulære cyster i hud og underhud|L72.8
cutan|L72.8
kutan|L72.8
Uspesifisert follikulær cyste i hud og underhud|L72.9
cutan|L72.9
kutan|L72.9
Andre follikkellidelser|L73
Keloid akne|L73.0
acne|L73.0
Pseudofolliculitis barbae|L73.1
Purulent hidradenitt|L73.2
hidrosadenitt|L73.2
med puss|L73.2
Andre spesifiserte follikkellidelser|L73.8
Uspesifisert follikkellidelse|L73.9
Lidelser i eksokrine svettekjertler|L74
Miliaria rubra|L74.0
Miliaria crystallina|L74.1
Miliaria profunda|L74.2
Uspesifisert miliaria|L74.3
Anhidrose|L74.4
Andre spesifiserte lidelser i eksokrine svettekjertler|L74.8
Uspesifisert lidelse i eksokrine svettekjertler|L74.9
Lidelser i apokrine svettekjertler|L75
Bromhidrose|L75.0
Kromhidrose|L75.1
Apokrin miliaria|L75.2
Andre spesifiserte lidelser i apokrine svettekjertler|L75.8
Uspesifisert lidelse i apokrine svettekjertler|L75.9
Vitiligo|L80
Andre lidelser i hud og underhud|L80-L99
cutan|L80-L99
kutan|L80-L99
Andre forstyrrelser i pigmentering|L81
Postinflammatorisk hyperpigmentering|L81.0
Kloasme|L81.1
chloasma|L81.1
Fregner|L81.2
«Café-au-lait»-flekker|L81.3
Annen melaninhyperpigmentering|L81.4
Leukodermi, ikke klassifisert annet sted|L81.5
pigmenttap|L81.5
Andre forstyrrelser med forminsket melanindannelse|L81.6
Pigmentert purpurisk dermatose|L81.7
Andre spesifiserte forstyrrelser i pigmentering|L81.8
hyperpigmentering|L81.8
Uspesifisert forstyrrelse i pigmentering|L81.9
Seboréisk keratose|L82
Acanthosis nigricans|L83
Liktorner og hornhud|L84
cutan|L84
kutan|L84
Annen epidermal fortykkelse|L85
Ervervet iktyose|L85.0
fiskeskjellsykdom|L85.0
Ervervet palmar og plantar keratose (keratosis palmaris et plantaris)|L85.1
Keratosis punctata (palmaris et plantaris)|L85.2
Xerosis cutis|L85.3
Annen spesifisert epidermal fortykkelse|L85.8
Uspesifisert epidermal fortykkelse|L85.9
Keratoderma ved sykdommer klassifisert annet sted|L86 *
Forstyrrelser i transepidermal eliminasjon|L87
Keratosis follicularis et parafollicularis in cutem penetrans[Kyrle]|L87.0
Reaktiv perforerende kollagenose|L87.1
Elastosis perforans serpiginosa|L87.2
Andre spesifiserte forstyrrelser i transepidermal eliminasjon|L87.8
Uspesifisert forstyrrelse i transepidermal eliminasjon|L87.9
Pyoderma gangrenosum|L88
grein|L88
koldbrann|L88
pyoderma gangrenosum|L88
Dekubitalsår og trykkskade|L89
debikutalulcus|L89
decubitus|L89
decubitus sacralis|L89
decubitus sakralt|L89
decubitussår|L89
dekubitalsår|L89
infisert decubitus|L89
infisert dekubitalsår|L89
infisert liggesår|L89
infisert sakralt trykksår|L89
infisert trykksår|L89
infisert trykksår sakralt|L89
infiserte dekubitalsår|L89
infiserte liggesår|L89
infiserte trykksår|L89
liggesår|L89
liggesår på fot|L89
liggesår på rygg|L89
liggesår sakrum|L89
sakralt dekubitalsår|L89
sakralt liggesår|L89
sakralt trykksår|L89
trykksår|L89
trykksår i seteregionen|L89
trykksår på fot|L89
trykksår på rygg|L89
ulcus|L89
vulnus|L89
Dekubitalsår og trykkskade stadium I|L89.0
debikutalulcus|L89.0
decubitus|L89.0
ulcus|L89.0
vulnus|L89.0
Dekubitalsår stadium II|L89.1
debikutalulcus|L89.1
decubitus|L89.1
ulcus|L89.1
vulnus|L89.1
Dekubitalsår stadium III|L89.2
debikutalulcus|L89.2
decubitus|L89.2
ulcus|L89.2
vulnus|L89.2
Dekubitalsår stadium IV|L89.3
debikutalulcus|L89.3
decubitus|L89.3
ulcus|L89.3
vulnus|L89.3
Uspesifisert dekubitalsår og trykkskade|L89.9
debikutalulcus|L89.9
decubitus|L89.9
ulcus|L89.9
vulnus|L89.9
Atrofiske hudlidelser|L90
cutan|L90
kutan|L90
svinn|L90
Lichen sclerosus et atrophicus|L90.0
Schweninger-Buzzis anetodermi|L90.1
Jadassohn-Pellizzaris anetodermi|L90.2
Pasinis og Pierinis atrofodermi|L90.3
Atrofisk kronisk akrodermatitt|L90.4
dermatitis|L90.4
eczema|L90.4
enantem|L90.4
svinn|L90.4
utslett|L90.4
Arrtilstander og fibrose i hud|L90.5
cutan|L90.5
kutan|L90.5
Striae atrophicae|L90.6
Andre spesifiserte atrofiske hudlidelser|L90.8
cutan|L90.8
kutan|L90.8
svinn|L90.8
Uspesifisert atrofisk hudlidelse|L90.9
cutan|L90.9
kutan|L90.9
svinn|L90.9
Hypertrofiske hudlidelser|L91
cutan|L91
kutan|L91
Hypertrofisk arr|L91.0
Andre spesifiserte hypertrofiske hudlidelser|L91.8
cutan|L91.8
kutan|L91.8
Uspesifisert hypertrofisk hudlidelse|L91.9
cutan|L91.9
kutan|L91.9
Granulomatøse lidelser i hud og underhud|L92
cutan|L92
kutan|L92
Granuloma annulare|L92.0
granulom ringformet|L92.0
Lipoid nekrobiose (necrobiosis lipoidica), ikke klassifisert annet sted|L92.1
Ansiktsgranulom (granuloma faciale)[eosinofilt hudgranulom]|L92.2
cutan|L92.2
kutan|L92.2
Fremmedlegemegranulom i hud og underhud|L92.3
corpus alienum|L92.3
cutan|L92.3
kutan|L92.3
Andre spesifiserte granulomatøse lidelser i hud og underhud|L92.8
cutan|L92.8
kutan|L92.8
Uspesifisert granulomatøs lidelse i hud og underhud|L92.9
cutan|L92.9
kutan|L92.9
Lupus erythematosus|L93
Lupus erythematosus discoides|L93.0
diskoid lupus erythematosus|L93.0
dle i ansikt|L93.0
lupus erythematosus discoides|L93.0
Subakutt kutan lupus erythematosus|L93.1
Annen lokal lupus erythematosus|L93.2
Andre lokaliserte bindevevssykdommer|L94
Lokalisert skleroderma|L94.0
skleroderma|L94.0
Lineær skleroderma|L94.1
Calcinosis cutis|L94.2
Sklerodaktyli|L94.3
Gottrons papler|L94.4
Atrofisk vaskulær poikiloderma (poikiloderma vasculare atrophicans)|L94.5
svinn|L94.5
Ainhum|L94.6
Andre spesifiserte lokaliserte bindevevssykdommer|L94.8
Uspesifisert lokalisert bindevevssykdom|L94.9
Vaskulitt  begrenset til hud, ikke klassifisert annet sted|L95
cutan|L95
grein|L95
kutan|L95
vasculitt|L95
Livedoid vaskulitt|L95.0
vasculitt|L95.0
Erythema elevatum diutinum|L95.1
Annen spesifisert vaskulitt begrenset til hud|L95.8
cutan|L95.8
grein|L95.8
kutan|L95.8
nodulær vaskulitt|L95.8
vasculitt|L95.8
Uspesifisert vaskulitt begrenset til hud|L95.9
cutan|L95.9
grein|L95.9
hudvaskulitt|L95.9
kutan|L95.9
vasculitt|L95.9
vaskulitt i hud|L95.9
Sår på underekstremitet, ikke klassifisert annet sted|L97
arterielt sår i underekstremitet|L97
arterielt sår på ben|L97
arterielt sår på fot|L97
arteriosklerotisk leggsår|L97
arterosklerotisk leggsår|L97
aterosklerotisk leggsår|L97
bensår|L97
fotsår|L97
hudsår på ben|L97
hælsår|L97
infisert bensår|L97
infisert fotsår|L97
infisert leggsår|L97
infisert sår på fot|L97
infiserte bensår|L97
iskemisk leggsår|L97
iskemisk sår hæl|L97
iskemisk sår i ben|L97
leggsår|L97
sår legg|L97
sår på ben|L97
sår på hæl|L97
sår på legg|L97
sårinfeksjon hofte|L97
sårinfeksjon på ben|L97
sårinfeksjon på fot|L97
ulcus|L97
ulcus cruris|L97
vulnus|L97
Andre lidelser i hud og underhud, ikke klassifisert annet sted|L98
cutan|L98
kutan|L98
Pyogent granulom|L98.0
Dermatitis factitia|L98.1
Febril nøytrofil dermatose [Sweet]|L98.2
Eosinofil cellulitt [Wells]|L98.3
flegmone|L98.3
Kronisk hudsår, ikke klassifisert annet sted|L98.4
cutan|L98.4
hudsår|L98.4
infisert hudsår|L98.4
infisert sakralt sår|L98.4
infisert sår|L98.4
kronisk hudsår|L98.4
kutan|L98.4
sakralt sår|L98.4
sårinfeksjon|L98.4
ulcus|L98.4
vulnus|L98.4
Hudmucinose|L98.5
cutan|L98.5
kutan|L98.5
Andre infiltrative lidelser i hud og underhud|L98.6
cutan|L98.6
kutan|L98.6
Andre spesifiserte lidelser i hud og underhud|L98.8
cutan|L98.8
hudfistel|L98.8
kutan|L98.8
Uspesifisert lidelse i hud og underhud|L98.9
cutan|L98.9
kutan|L98.9
Andre lidelser i hud og underhud ved sykdommer klassifisert annet sted|L99 *
cutan|L99 *
kutan|L99 *
Hudamyloidose (E85.-†)|L99.0 *
cutan|L99.0 *
kutan|L99.0 *
Andre spesifiserte lidelser i hud og underhud ved sykdommer klassifisert annet sted|L99.8 *
cutan|L99.8 *
kutan|L99.8 *
Pyogen artritt (arthritis pyogenes)|M00
leddbetennelse|M00
Infeksiøse leddlidelser|M00-M03
Sykdommer i muskel-skjelettsystemet og bindevev|M00-M99
Stafylokokkartritt  og -polyartritt|M00.0
leddbetennelse|M00.0
stafylococc|M00.0
Pneumokokkartritt  og -polyartritt|M00.1
leddbetennelse|M00.1
Annen streptokokkartritt  og -polyartritt|M00.2
leddbetennelse|M00.2
streptococc|M00.2
Artritt og polyartritt som skyldes andre spesifiserte bakterielle mikroorganismer|M00.8
leddbetennelse|M00.8
Uspesifisert pyogen artritt|M00.9
leddbetennelse|M00.9
Direkte leddinfeksjon ved infeksjonssykdommer og parasittsykdommer klassifisert annet sted|M01 *
Meningokokkartritt (A39.8†)|M01.0 *
leddbetennelse|M01.0 *
Tuberkuløs artritt (A18.0†)|M01.1 *
leddbetennelse|M01.1 *
tbc|M01.1 *
Artritt ved borreliose (A69.2†)|M01.2 *
ecm|M01.2 *
em|M01.2 *
leddbetennelse|M01.2 *
Artritt ved andre bakteriesykdommer klassifisert annet sted|M01.3 *
leddbetennelse|M01.3 *
Rubella-artritt (B06.8†)|M01.4 *
leddbetennelse|M01.4 *
Artritt ved andre virussykdommer klassifisert annet sted|M01.5 *
leddbetennelse|M01.5 *
Artritt ved soppsykdommer (B35-B49†)|M01.6 *
leddbetennelse|M01.6 *
mykose|M01.6 *
soppinfeksjon|M01.6 *
soppinfeksjon i lunge|M01.6 *
sopplungebetennelse|M01.6 *
soppsepsis|M01.6 *
Artritt ved andre infeksjonssykdommer og parasittsykdommer klassifisert annet sted|M01.8 *
leddbetennelse|M01.8 *
Reaktive leddlidelser|M02
Leddlidelse etter tarm-«bypass»|M02.0
Leddlidelse etter dysenteri|M02.1
Leddlidelse etter vaksinasjon|M02.2
Reiters sykdom|M02.3
Andre spesifiserte reaktive leddlidelser|M02.8
Uspesifisert reaktiv leddlidelse|M02.9
Postinfeksiøse og reaktive leddlidelser ved sykdommer klassifisert annet sted|M03 *
Artritt etter meningokokkinfeksjon (A39.8†)|M03.0 *
leddbetennelse|M03.0 *
Postinfeksiøs leddlidelse ved syfilis|M03.1 *
lues|M03.1 *
Andre postinfeksiøse leddlidelser ved sykdommer klassifisert annet sted|M03.2 *
Reaktiv leddlidelse ved andre sykdommer klassifisert annet sted|M03.6 *
Seropositiv reumatoid  artritt (arthritis rheumatoides seropositiva)|M05
leddbetennelse|M05
positiv serologi|M05
ra|M05
revma|M05
revmatoid|M05
Inflammatoriske polyartropatier|M05-M14
Feltys syndrom|M05.0
Reumatoid  lungesykdom (J99.0*)|M05.1†
revma|M05.1†
revmatoid|M05.1†
Reumatoid  vaskulitt|M05.2
revma|M05.2
revmatoid|M05.2
vasculitt|M05.2
Reumatoid  artritt med affeksjon av andre organer og systemer|M05.3†
leddbetennelse|M05.3†
revma|M05.3†
revmatoid|M05.3†
Annen spesifisert seropositiv reumatoid  artritt|M05.8
leddbetennelse|M05.8
positiv serologi|M05.8
revma|M05.8
revmatoid|M05.8
Uspesifisert seropositiv reumatoid  artritt|M05.9
leddbetennelse|M05.9
positiv serologi|M05.9
revma|M05.9
revmatoid|M05.9
Annen reumatoid  artritt|M06
leddbetennelse|M06
ra|M06
revma|M06
revmatoid|M06
Seronegativ reumatoid  artritt|M06.0
leddbetennelse|M06.0
revma|M06.0
revmatoid|M06.0
Stills sykdom med debut i voksen alder|M06.1
Reumatoid  bursitt|M06.2
betennelse i slimpose|M06.2
revma|M06.2
revmatoid|M06.2
slimposebetennelse|M06.2
Reumatoid  knute|M06.3
revma|M06.3
revmatoid|M06.3
Inflammatorisk leddlidelse|M06.4
Annen spesifisert reumatoid  artritt|M06.8
leddbetennelse|M06.8
revma|M06.8
revmatoid|M06.8
Uspesifisert reumatoid  artritt|M06.9
leddbetennelse|M06.9
revma|M06.9
revmatoid|M06.9
Leddlidelser ved psoriasis og inflammatorisk tarmsykdom|M07 *
Distal interfalangeal psoriatisk leddlidelse (L40.5†)|M07.0 *
Arthritis mutilans(L40.5†)|M07.1 *
Psoriatisk spondylitt (L40.5†)|M07.2 *
Andre psoriatiske leddlidelser (L40.5†)|M07.3 *
Leddlidelse ved Crohns sykdom [regional enteritt](K50.-†)|M07.4 *
gastroenteritt|M07.4 *
ibd|M07.4 *
tarmbetennelse|M07.4 *
Leddlidelse ved ulcerøs kolitt (K51.-†)|M07.5 *
colitis ulcerosa|M07.5 *
colitt|M07.5 *
ibd|M07.5 *
Andre leddlidelser ved inflammatorisk tarmsykdom|M07.6 *
Juvenil artritt (arthritis juvenilis)|M08
arthritis juvenilis|M08
leddbetennelse|M08
Juvenil reumatoid  artritt|M08.0
jra|M08.0
leddbetennelse|M08.0
revma|M08.0
revmatoid|M08.0
Juvenil ankyloserende spondylitt|M08.1
Juvenil artritt med systemisk opprinnelse|M08.2
arthritis juvenilis|M08.2
leddbetennelse|M08.2
Juvenil polyartritt (seronegativ)|M08.3
leddbetennelse|M08.3
Pauciartikulær juvenil artritt|M08.4
arthritis juvenilis|M08.4
articulær|M08.4
leddbetennelse|M08.4
Annen spesifisert juvenil artritt|M08.8
arthritis juvenilis|M08.8
leddbetennelse|M08.8
Uspesifisert juvenil artritt|M08.9
arthritis juvenilis|M08.9
leddbetennelse|M08.9
Juvenil artritt ved sykdommer klassifisert annet sted|M09 *
arthritis juvenilis|M09 *
leddbetennelse|M09 *
Juvenil artritt ved psoriasis(L40.5†)|M09.0 *
arthritis juvenilis|M09.0 *
leddbetennelse|M09.0 *
Juvenil artritt ved Crohns sykdom [regional enteritt](K50.-†)|M09.1 *
arthritis juvenilis|M09.1 *
gastroenteritt|M09.1 *
ibd|M09.1 *
leddbetennelse|M09.1 *
tarmbetennelse|M09.1 *
Juvenil artritt ved ulcerøs kolitt (K51.-†)|M09.2 *
arthritis juvenilis|M09.2 *
colitis ulcerosa|M09.2 *
colitt|M09.2 *
ibd|M09.2 *
leddbetennelse|M09.2 *
Juvenil artritt ved andre sykdommer klassifisert annet sted|M09.8 *
arthritis juvenilis|M09.8 *
leddbetennelse|M09.8 *
Urinsyregikt (arthritis urica)|M10
arthritis urica|M10
Idiopatisk urinsyregikt|M10.0
arthritis urica|M10.0
Blyutløst urinsyregikt|M10.1
arthritis urica|M10.1
Legemiddelutløst urinsyregikt|M10.2
arthritis urica|M10.2
medikament|M10.2
Urinsyregikt som følge av svikt i nyrefunksjon|M10.3
arthritis urica|M10.3
Annen sekundær urinsyregikt|M10.4
arthritis urica|M10.4
Uspesifisert urinsyregikt|M10.9
arthritis urica|M10.9
Andre krystallinduserte leddlidelser|M11
Hydroksyapatitt-avleiringssykdom|M11.0
Familiær kondrokalsinose|M11.1
Annen kondrokalsinose|M11.2
Andre spesifiserte krystallinduserte leddlidelser|M11.8
Uspesifisert krystallindusert leddlidelse|M11.9
Andre spesifiserte leddlidelser|M12
Kronisk postreumatisk  artropati [Jaccouds sykdom]|M12.0
revma|M12.0
revmatisk|M12.0
Kaschin-Becks sykdom|M12.1
Villonodulær synovitt (pigmentert)|M12.2
betennelse i synovialhinne|M12.2
leddhinnebetennelse|M12.2
Palindromisk reumatisme|M12.3
revma|M12.3
revmatisme|M12.3
Intermitterende hydrartrose|M12.4
Skadeutløst leddlidelse|M12.5
Andre spesifiserte leddlidelser, ikke klassifisert annet sted|M12.8
Annen artritt|M13
leddbetennelse|M13
Uspesifisert polyartritt|M13.0
leddbetennelse|M13.0
Monoartritt, ikke klassifisert annet sted|M13.1
leddbetennelse|M13.1
Annen spesifisert artritt|M13.8
leddbetennelse|M13.8
Uspesifisert artritt|M13.9
leddbetennelse|M13.9
Leddlidelser ved andre sykdommer klassifisert annet sted|M14 *
Urinsyregikt som skyldes enzymdefekter og andre arvelige tilstander|M14.0 *
arthritis urica|M14.0 *
hereditær|M14.0 *
Krystallindusert leddlidelse ved andre stoffskifteforstyrrelser|M14.1 *
Diabetisk artropati (E10-E14†)|M14.2 *
iddm|M14.2 *
Lipoid dermatoartritt (E78.8†)|M14.3 *
leddbetennelse|M14.3 *
Leddlidelse ved amyloidose (E85.-†)|M14.4 *
Leddaffeksjoner ved andre endokrine forstyrrelser, ernærings- og stoffskifteforstyrrelser|M14.5 *
Nevrogen  leddaffeksjon|M14.6 *
neuro|M14.6 *
neurogen|M14.6 *
Leddlidelser ved andre spesifiserte sykdommer klassifisert annet sted|M14.8 *
Polyartrose (polyartrosis)|M15
polyartrosis|M15
Artroser (arthrosis)|M15-M19
Primær generalisert (osteo)artrose|M15.0
Heberdens knuter (med leddlidelse)|M15.1
Bouchards knuter (med leddlidelse)|M15.2
Sekundær multippel artrose|M15.3
Eroderende (osteo)artrose|M15.4
Andre spesifiserte polyartroser|M15.8
polyartrosis|M15.8
Uspesifisert polyartrose|M15.9
generalisert artrose|M15.9
generell artrose|M15.9
polyartrosis|M15.9
polyatrose|M15.9
Hofteleddsartrose (coxarthrosis)|M16
coxarthrosis|M16
koksartrose|M16
Primær hofteleddsartrose, bilateral|M16.0
coxarthrosis|M16.0
dobbeltsidig|M16.0
koksartrose|M16.0
Primær hofteleddsartrose, uten opplysning om bilateral manifestasjon|M16.1
coxarthrosis|M16.1
dobbeltsidig|M16.1
koksartrose|M16.1
Hofteleddsartrose som følge av dysplasi, bilateral|M16.2
coxarthrosis|M16.2
dobbeltsidig|M16.2
dysplasia|M16.2
koksartrose|M16.2
Hofteleddsartrose som følge av dysplasi, uten opplysning om bilateral manifestasjon|M16.3
coxarthrosis|M16.3
dobbeltsidig|M16.3
dysplasia|M16.3
koksartrose|M16.3
Posttraumatisk hofteleddsartrose, bilateral|M16.4
coxarthrosis|M16.4
dobbeltsidig|M16.4
koksartrose|M16.4
Posttraumatisk hofteleddsartrose, uten opplysning om bilateral manifestasjon|M16.5
coxarthrosis|M16.5
dobbeltsidig|M16.5
koksartrose|M16.5
Annen sekundær hofteleddsartrose, bilateral|M16.6
coxarthrosis|M16.6
dobbeltsidig|M16.6
koksartrose|M16.6
Annen sekundær hofteleddsartrose, uten opplysning om bilateral manifestasjon|M16.7
coxarthrosis|M16.7
dobbeltsidig|M16.7
koksartrose|M16.7
Uspesifisert hofteleddsartrose|M16.9
artrose i hofte|M16.9
coxarthrosis|M16.9
coxartrose|M16.9
hofteartrose|M16.9
hofteleddsartrose|M16.9
hofteslitasje|M16.9
koksartrose|M16.9
Kneleddsartrose (gonarthrosis)|M17
gonarthrosis|M17
gonartrose|M17
Primær kneleddsartrose, bilateral|M17.0
dobbeltsidig|M17.0
gonarthrosis|M17.0
gonartrose|M17.0
Primær kneleddsartrose, uten opplysning om bilateral manifestasjon|M17.1
dobbeltsidig|M17.1
gonarthrosis|M17.1
gonartrose|M17.1
Posttraumatisk kneleddsartrose, bilateral|M17.2
dobbeltsidig|M17.2
gonarthrosis|M17.2
gonartrose|M17.2
Posttraumatisk kneleddsartrose, uten opplysning om bilateral manifestasjon|M17.3
dobbeltsidig|M17.3
gonarthrosis|M17.3
gonartrose|M17.3
Annen sekundær kneleddsartrose, bilateral|M17.4
dobbeltsidig|M17.4
gonarthrosis|M17.4
gonartrose|M17.4
Annen sekundær kneleddsartrose, uten opplysning om bilateral manifestasjon|M17.5
dobbeltsidig|M17.5
gonarthrosis|M17.5
gonartrose|M17.5
Uspesifisert kneleddsartrose|M17.9
artrose genu|M17.9
artrose i kne|M17.9
