Kolera (cholera)|A00
coccidioidomycosis|B38.4†
coccidioidomykose|B38.4†
hjernehinnebetennelse|B38.4†
valley-feber|B38.4†
Disseminert koksidioidomykose|B38.7
californiasyke|B38.7
coccidioidomycosis|B38.7
coccidioidomykose|B38.7
valley-feber|B38.7
Andre spesifiserte former for koksidioidomykose|B38.8
californiasyke|B38.8
coccidioidomycosis|B38.8
coccidioidomykose|B38.8
valley-feber|B38.8
Uspesifisert koksidioidomykose|B38.9
californiasyke|B38.9
coccidioidomycosis|B38.9
coccidioidomykose|B38.9
valley-feber|B38.9
Histoplasmose (histoplasmosis)|B39
darlings sykdom|B39
histoplasmosis|B39
Akutt pulmonal histoplasmose|B39.0
darlings sykdom|B39.0
histoplasmosis|B39.0
lunge|B39.0
Kronisk pulmonal histoplasmose|B39.1
darlings sykdom|B39.1
histoplasmosis|B39.1
lunge|B39.1
Uspesifisert pulmonal histoplasmose|B39.2
darlings sykdom|B39.2
histoplasmosis|B39.2
lunge|B39.2
Disseminert histoplasmose|B39.3
darlings sykdom|B39.3
histoplasmosis|B39.3
Uspesifisert histoplasmose som skyldes Histoplasma capsulatum|B39.4
darlings sykdom|B39.4
histoplasmosis|B39.4
Histoplasmose som skyldes Histoplasma duboisii|B39.5
darlings sykdom|B39.5
histoplasmosis|B39.5
Uspesifisert histoplasmose|B39.9
darlings sykdom|B39.9
histoplasmosis|B39.9
Blastomykose (blastomycosis)|B40
blastomycosis|B40
Akutt pulmonal blastomykose|B40.0
blastomycosis|B40.0
lunge|B40.0
Kronisk pulmonal blastomykose|B40.1
blastomycosis|B40.1
lunge|B40.1
Uspesifisert pulmonal blastomykose|B40.2
blastomycosis|B40.2
lunge|B40.2
Kutan blastomykose|B40.3
blastomycosis|B40.3
Disseminert blastomykose|B40.7
blastomycosis|B40.7
Andre spesifiserte former for blastomykose|B40.8
blastomycosis|B40.8
Uspesifisert blastomykose|B40.9
blastomycosis|B40.9
Parakoksidioidomykose (paracoccidioidomycosis)|B41
californiasyke|B41
coccidioidomycosis|B41
coccidioidomykose|B41
paracoxidioidomycosis|B41
valley-feber|B41
Pulmonal parakoksidioidomykose|B41.0
californiasyke|B41.0
coccidioidomycosis|B41.0
coccidioidomykose|B41.0
lunge|B41.0
paracoxidioidomycosis|B41.0
valley-feber|B41.0
Disseminert parakoksidioidomykose|B41.7
californiasyke|B41.7
coccidioidomycosis|B41.7
coccidioidomykose|B41.7
paracoxidioidomycosis|B41.7
valley-feber|B41.7
Andre spesifiserte former for parakoksidioidomykose|B41.8
californiasyke|B41.8
coccidioidomycosis|B41.8
coccidioidomykose|B41.8
paracoxidioidomycosis|B41.8
valley-feber|B41.8
Uspesifisert parakoksidioidomykose|B41.9
californiasyke|B41.9
coccidioidomycosis|B41.9
coccidioidomykose|B41.9
paracoxidioidomycosis|B41.9
valley-feber|B41.9
Sporotrikose (sporotrichosis)|B42
sporotrichosis|B42
Pulmonal sporotrikose (J99.8*)|B42.0†
lunge|B42.0†
sporotrichosis|B42.0†
Lymfokutan sporotrikose|B42.1
sporotrichosis|B42.1
Disseminert sporotrikose|B42.7
sporotrichosis|B42.7
Andre spesifiserte former for sporotrikose|B42.8
sporotrichosis|B42.8
Uspesifisert sporotrikose|B42.9
sporotrichosis|B42.9
Kromomykose (chromomycosis) og feomykotisk abscess|B43
chromomycosis|B43
Kutan kromomykose|B43.0
chromomycosis|B43.0
Feomykotisk hjerneabscess|B43.1
Subkutan feomykotisk abscess og cyste|B43.2
Andre spesifiserte former for kromomykose|B43.8
chromomycosis|B43.8
Uspesifisert kromomykose|B43.9
chromomycosis|B43.9
Aspergillose (aspergillosis)|B44
aspergillosis|B44
Invasiv pulmonal aspergillose|B44.0
aspergillosis|B44.0
invasiv lungeaspergillose|B44.0
lunge|B44.0
Annen pulmonal aspergillose|B44.1
aspergillosis|B44.1
aspergilluspneumoni|B44.1
bronkopulmenal aspergillose|B44.1
lunge|B44.1
lungeaspergillose|B44.1
Tonsillær aspergillose|B44.2
aspergillosis|B44.2
Disseminert aspergillose|B44.7
aspergillosis|B44.7
disseminert aspargillose|B44.7
Andre spesifiserte former for aspergillose|B44.8
aspergillosis|B44.8
Uspesifisert aspergillose|B44.9
aspergillom|B44.9
aspergillose|B44.9
aspergillosis|B44.9
aspergillus fumigatus|B44.9
aspergillusinfeksjon|B44.9
Kryptokokkose (cryptococcosis)|B45
cryptococcose|B45
cryptococcosis|B45
Pulmonal kryptokokkose|B45.0
cryptococcose|B45.0
cryptococcosis|B45.0
lunge|B45.0
Cerebral kryptokokkose|B45.1
cryptococcose|B45.1
cryptococcosis|B45.1
kryptokokkmeningitt|B45.1
Kutan kryptokokkose|B45.2
cryptococcose|B45.2
cryptococcosis|B45.2
Ossøs kryptokokkose|B45.3
cryptococcose|B45.3
cryptococcosis|B45.3
Disseminert kryptokokkose|B45.7
cryptococcose|B45.7
cryptococcosis|B45.7
Andre spesifiserte former for kryptokokkose|B45.8
cryptococcose|B45.8
cryptococcosis|B45.8
Uspesifisert kryptokokkose|B45.9
cryptococcose|B45.9
cryptococcosis|B45.9
Zygomykose (zygomycosis)|B46
zygomycose|B46
zygomycosis|B46
Pulmonal mucormykose|B46.0
lunge|B46.0
Rinocerebral mucormykose|B46.1
rhino|B46.1
Gastrointestinal mucormykose|B46.2
Kutan mucormykose|B46.3
Disseminert mucormykose|B46.4
Uspesifisert mucormykose|B46.5
Andre spesifiserte zygomykoser|B46.8
zygomycose|B46.8
zygomycosis|B46.8
Uspesifisert zygomykose|B46.9
zygomycose|B46.9
zygomycosis|B46.9
Mycetom|B47
Eumycetom|B47.0
Aktinomycetom|B47.1
Uspesifisert mycetom|B47.9
Andre soppsykdommer , ikke klassifisert annet sted|B48
mykose|B48
Lobomykose|B48.0
Rinosporidiose|B48.1
rhino|B48.1
Allescheriasis|B48.2
Geotrikose|B48.3
Penicilliose|B48.4
Opportunistiske soppsykdommer|B48.7
mykose|B48.7
Andre spesifiserte soppsykdommer|B48.8
mykose|B48.8
Uspesifisert soppsykdom|B49
mykose|B49
soppinfeksjon|B49
soppinfeksjon i lunge|B49
sopplungebetennelse|B49
soppsepsis|B49
Malaria som skyldes Plasmodium falciparum|B50
Protozosykdommer|B50-B64
Malaria som skyldes Plasmodium falciparum, med hjernekomplikasjoner|B50.0
Annen spesifisert alvorlig og komplisert malaria som skyldes Plasmodium falciparum|B50.8
Uspesifisert malaria som skyldes Plasmodium falciparum|B50.9
Malaria som skyldes Plasmodium vivax|B51
malaria tertiana|B51
tertianfeber|B51
Malaria som skyldes Plasmodium vivax, med miltruptur|B51.0
malaria tertiana|B51.0
tertianfeber|B51.0
Malaria som skyldes Plasmodium vivax, med andre komplikasjoner|B51.8
malaria tertiana|B51.8
tertianfeber|B51.8
Malaria som skyldes Plasmodium vivax, uten komplikasjoner|B51.9
malaria tertiana|B51.9
tertianfeber|B51.9
Malaria som skyldes Plasmodium malariae|B52
kvartanfeber|B52
malaria quartana|B52
Malaria som skyldes Plasmodium malariae, med nefropati|B52.0
kvartanfeber|B52.0
malaria quartana|B52.0
Malaria som skyldes Plasmodium malariae, med andre komplikasjoner|B52.8
kvartanfeber|B52.8
malaria quartana|B52.8
Malaria som skyldes Plasmodium malariae, uten komplikasjoner|B52.9
kvartanfeber|B52.9
malaria quartana|B52.9
Annen parasittologisk bekreftet malaria|B53
Malaria som skyldes Plasmodium ovale|B53.0
Apeplasmodiamalaria|B53.1
Annen spesifisert parasittologisk bekreftet malaria, ikke klassifisert annet sted|B53.8
Uspesifisert malaria|B54
Leishmaniasis|B55
Visceral leishmaniasis|B55.0
Kutan leishmaniasis|B55.1
Mukokutan leishmaniasis|B55.2
Uspesifisert leishmaniasis|B55.9
Afrikansk trypanosomiasis (trypanosomiasis africana)|B56
Trypanosomiasis gambiensis|B56.0
Trypanosomiasis rhodesiensis|B56.1
Uspesifisert afrikansk trypanosomiasis|B56.9
Chagas sykdom (trypanosomiasis americana)|B57
trypanosomiasis americana|B57
Akutt Chagas sykdom med hjerteaffeksjon (I41.2*, I98.1*)|B57.0†
trypanosomiasis americana|B57.0†
Akutt Chagas sykdom uten hjerteaffeksjon|B57.1
trypanosomiasis americana|B57.1
Chagas sykdom (kronisk) med hjerteaffeksjon (I41.2*, I98.1*)|B57.2†
trypanosomiasis americana|B57.2†
Chagas sykdom (kronisk) med fordøyelsessystemaffeksjon|B57.3
trypanosomiasis americana|B57.3
Chagas sykdom (kronisk) med nervesystemaffeksjon|B57.4
trypanosomiasis americana|B57.4
Chagas sykdom (kronisk) med annen organaffeksjon|B57.5
trypanosomiasis americana|B57.5
Toksoplasmose|B58
toxoplasmose|B58
Toksoplasma-okulopati|B58.0†
toxoplasma|B58.0†
Toksoplasmahepatitt (K77.0*)|B58.1†
leverbetennelse|B58.1†
smittsom gulsott|B58.1†
toxoplasma|B58.1†
Toksoplasmameningoencefalitt (G05.2*)|B58.2†
betennelse i hjerne|B58.2†
cerebral toksoplasmose|B58.2†
encephalitis|B58.2†
hjernebetennelse|B58.2†
toxoplasma|B58.2†
Pulmonal toksoplasmose (J17.3*)|B58.3†
lunge|B58.3†
toxoplasmose|B58.3†
Toksoplasmose med annen spesifisert organaffeksjon|B58.8
toxoplasmose|B58.8
Uspesifisert toksoplasmose|B58.9
toksoplasmose|B58.9
toxoplasmose|B58.9
Pneumocystose (J17.3*)|B59†
pneumocystis carinii|B59†
pneumocystis carinii-pneumoni|B59†
pneumocystis cariniinfeksjon|B59†
pneumocystis jiroveci|B59†
pneumocystis jiroveci-pneumoni|B59†
Andre protozosykdommer, ikke klassifisert annet sted|B60
Babesiose|B60.0
Akantamøbeinfeksjon|B60.1
Naegleriainfeksjon|B60.2
Andre spesifiserte protozosykdommer|B60.8
Uspesifisert protozosykdom|B64
Schistosomiasis [bilharzia]|B65
bilharzia|B65
Helmintoser|B65-B83
Schistosomiasis som skyldes Schistosoma haematobium[urinblæreschistosomiasis]|B65.0
bilharzia|B65.0
Schistosomiasis som skyldes Schistosoma mansoni[tarmkanalschistosomiasis]|B65.1
bilharzia|B65.1
Schistosomiasis som skyldes Schistosoma japonicum|B65.2
bilharzia|B65.2
Cerkariedermatitt|B65.3
dermatitis|B65.3
eczema|B65.3
enantem|B65.3
utslett|B65.3
Annen spesifisert schistosomiasis|B65.8
bilharzia|B65.8
Uspesifisert schistosomiasis|B65.9
bilharzia|B65.9
Andre ikteinfeksjoner|B66
Opisthorchiasis|B66.0
Clonorchiasis|B66.1
Dicrocoeliasis|B66.2
Fascioliasis|B66.3
Paragonimiasis|B66.4
Fasciolopsiasis|B66.5
Andre spesifiserte ikteinfeksjoner|B66.8
Uspesifisert ikteinfeksjon|B66.9
Ekinokokkose (echinococcosis)|B67
echinococcose|B67
echinococcosis|B67
Infeksjon i lever som skyldes Echinococcus granulosus|B67.0
Infeksjon i lunger som skyldes Echinococcus granulosus|B67.1
Infeksjon i ben som skyldes Echinococcus granulosus|B67.2
bein|B67.2
Infeksjon som skyldes Echinococcus granulosus, andre og multiple lokalisasjoner|B67.3
Uspesifisert infeksjon som skyldes Echinococcus granulosus|B67.4
Infeksjon i lever som skyldes Echinococcus multilocularis|B67.5
Infeksjon som skyldes Echinococcus multilocularis, andre og multiple lokalisasjoner|B67.6
Uspesifisert infeksjon som skyldes Echinococcus multilocularis|B67.7
Uspesifisert ekinokokkose i lever|B67.8
echinococcose|B67.8
echinococcosis|B67.8
Annen og uspesifisert ekinokokkose|B67.9
echinococcose|B67.9
echinococcosis|B67.9
Taeniasis|B68
Taeniasis som skyldes Taenia solium|B68.0
Taeniasis som skyldes Taenia saginata|B68.1
Uspesifisert taeniasis|B68.9
Cysticerkose|B69
blæreorminfeksjon|B69
cysticerkinfeksjon|B69
Cysticerkose i sentralnervesystemet|B69.0
blæreorminfeksjon|B69.0
cysticerkinfeksjon|B69.0
Cysticerkose i øye|B69.1
blæreorminfeksjon|B69.1
cysticerkinfeksjon|B69.1
Cysticerkose med annen spesifisert lokalisasjon|B69.8
blæreorminfeksjon|B69.8
cysticerkinfeksjon|B69.8
Uspesifisert cysticerkose|B69.9
blæreorminfeksjon|B69.9
cysticerkinfeksjon|B69.9
Diphyllobothriasis og sparganose|B70
Diphyllobothriasis|B70.0
Sparganose|B70.1
Andre bendelorminfeksjoner|B71
bein|B71
cestodeinfeksjon|B71
Hymenolepiasis|B71.0
Dipylidiasis|B71.1
Andre spesifiserte bendelorminfeksjoner|B71.8
bein|B71.8
cestodeinfeksjon|B71.8
Uspesifisert bendelorminfeksjon|B71.9
bein|B71.9
cestodeinfeksjon|B71.9
Dracunculiasis|B72
Onkocerkiasis (onchocerciasis)|B73
onchocercose|B73
Filariasis|B74
filariose|B74
Filariasis som skyldes Wuchereria bancrofti|B74.0
elefantiasis|B74.0
filariose|B74.0
Filariasis som skyldes Brugia malayi|B74.1
filariose|B74.1
Filariasis som skyldes Brugia timori|B74.2
filariose|B74.2
Loiasis|B74.3
Mansonelliasis|B74.4
Annen spesifisert filariasis|B74.8
filariose|B74.8
Uspesifisert filariasis|B74.9
filariose|B74.9
Trikinose (trichinosis)|B75
Hakeormsykdommer|B76
Ankylostomiasis|B76.0
Necatoriasis|B76.1
Andre spesifiserte hakeormsykdommer|B76.8
Uspesifisert hakeormsykdom|B76.9
Askariasis (ascariasis)|B77
Askariasis med tarmkomplikasjoner|B77.0
Askariasis med andre spesifiserte komplikasjoner|B77.8
Uspesifisert askariasis|B77.9
Strongyloidiasis|B78
Strongyloidiasis i tarmkanalen|B78.0
Kutan strongyloidiasis|B78.1
Disseminert strongyloidiasis|B78.7
Uspesifisert strongyloidiasis|B78.9
Trikuriasis|B79
Barneorminfeksjon (oxyuriasis)|B80
Andre ormesykdommer i tarm, ikke klassifisert annet sted|B81
Anisakiasis|B81.0
Capillariasis i tarmkanalen|B81.1
Trichostrongyliasis|B81.2
Angiostrongyliasis i tarmkanalen|B81.3
Blandede ormesykdommer i tarm|B81.4
Andre spesifiserte ormesykdommer i tarm|B81.8
Uspesifisert parasittisme i tarm|B82
Uspesifisert ormesykdom i tarm|B82.0
Uspesifisert parasittisme i tarm|B82.9
Andre ormesykdommer|B83
Visceral larva migrans|B83.0
vandrelarve|B83.0
vandrende larve|B83.0
Gnathostomiasis|B83.1
Angiostrongyliasis som skyldes Parastrongylus cantonensis|B83.2
Syngamiasis|B83.3
Innvendig hirudiniasis|B83.4
igleangrep|B83.4
Andre spesifiserte ormesykdommer|B83.8
Uspesifisert ormesykdom|B83.9
Pedikulose og ftiriasis|B85
luseinfestasjon|B85
Infestasjon av lus, midd og andre ektoparasitter|B85-B89
ektoparasittangrep|B85-B89
Pedikulose som skyldes Pediculus humanus capitis|B85.0
luseinfestasjon|B85.0
Pedikulose som skyldes Pediculus humanus corporis|B85.1
luseinfestasjon|B85.1
Uspesifisert pedikulose|B85.2
luseinfestasjon|B85.2
Ftiriasis|B85.3
Blandet pedikulose og ftiriasis|B85.4
luseinfestasjon|B85.4
Skabb|B86
Myiasis|B87
Kutan myiasis|B87.0
Myiasis i sår|B87.1
ulcus|B87.1
vulnus|B87.1
Okulær myiasis|B87.2
Nasofaryngeal myiasis|B87.3
Myiasis i øre|B87.4
Myiasis med annen spesifisert lokalisasjon|B87.8
Uspesifisert myiasis|B87.9
Andre infestasjoner|B88
ektoparasittangrep|B88
Annen middsykdom|B88.0
Tungiasis [sandloppeinfestasjon]|B88.1
ektoparasittangrep|B88.1
Andre artropodeinfestasjoner|B88.2
ektoparasittangrep|B88.2
leddyr|B88.2
Utvendig hirudiniasis|B88.3
igleangrep|B88.3
Andre spesifiserte infestasjoner|B88.8
ektoparasittangrep|B88.8
Uspesifisert infestasjon|B88.9
ektoparasittangrep|B88.9
Uspesifisert parasittsykdom|B89
Følgetilstander  etter tuberkulose|B90
sekveler|B90
senfølge|B90
sequele|B90
tbc|B90
Følgetilstander  etter infeksjonssykdommer og parasittsykdommer|B90-B94
sekveler|B90-B94
senfølge|B90-B94
sequele|B90-B94
Følgetilstander etter tuberkulose i sentralnervesystemet|B90.0
sekveler|B90.0
senfølge|B90.0
sequele|B90.0
tbc|B90.0
Følgetilstander etter tuberkulose i kjønnsorganer og urinveier|B90.1
sekveler|B90.1
senfølge|B90.1
sequele|B90.1
tbc|B90.1
Følgetilstander etter tuberkulose i ben og ledd|B90.2
bein|B90.2
sekveler|B90.2
senfølge|B90.2
sequele|B90.2
tbc|B90.2
Følgetilstander etter tuberkulose i andre spesifiserte organer|B90.8
sekveler|B90.8
senfølge|B90.8
sequele|B90.8
tbc|B90.8
Følgetilstander etter tuberkulose i åndedrettsorganer og uspesifisert tuberkulose|B90.9
gjennomgått lungetuberkulose|B90.9
sekveler|B90.9
senfølge|B90.9
sequele|B90.9
tbc|B90.9
Følgetilstander  etter poliomyelitt|B91
myelitis|B91
postpoliosyndrom|B91
ryggmargsbetennelse|B91
sekveler|B91
senfølge|B91
sequele|B91
Følgetilstander  etter lepra|B92
hansens sykdom|B92
sekveler|B92
senfølge|B92
sequele|B92
spedalskhet|B92
Følgetilstander etter andre og uspesifiserte infeksjonssykdommer og parasittsykdommer|B94
sekveler|B94
senfølge|B94
sequele|B94
Følgetilstander etter trakom|B94.0
sekveler|B94.0
senfølge|B94.0
sequele|B94.0
Følgetilstander etter virusencefalitt|B94.1
betennelse i hjerne|B94.1
encephalitis|B94.1
hjernebetennelse|B94.1
sekveler|B94.1
senfølge|B94.1
sequele|B94.1
virushjernebetennelse|B94.1
Følgetilstander etter virushepatitt|B94.2
leverbetennelse|B94.2
sekveler|B94.2
senfølge|B94.2
sequele|B94.2
smittsom gulsott|B94.2
virusleverbetennelse|B94.2
Følgetilstander etter andre spesifiserte infeksjonssykdommer og parasittsykdommer|B94.8
sekveler|B94.8
senfølge|B94.8
sequele|B94.8
Følgetilstander etter uspesifisert infeksjonssykdom og parasittsykdom|B94.9
postinfeksiøs asteni|B94.9
sekveler|B94.9
senfølge|B94.9
sequele|B94.9
Streptokokker  og stafylokokker  som årsak til sykdommer klassifisert i andre kapitler|B95
stafylococc|B95
streptococc|B95
Bakterier, virus og andre infeksjonsfremkallende mikroorganismer|B95-B98
Streptokokker, serogruppe A, som årsak til sykdommer klassifisert i andre kapitler|B95.0
streptococc|B95.0
Streptokokker, serogruppe B, som årsak til sykdommer klassifisert i andre kapitler|B95.1
streptococc|B95.1
Streptokokker, serogruppe D, som årsak til sykdommer klassifisert i andre kapitler|B95.2
streptococc|B95.2
Streptococcus pneumoniae som årsak til sykdommer klassifisert i andre kapitler|B95.3
lungebetennelse|B95.3
pneumokokker|B95.3
Andre spesifiserte streptokokker som årsak til sykdommer klassifisert i andre kapitler|B95.4
streptococc|B95.4
Uspesifiserte streptokokker som årsak til sykdommer klassifisert i andre kapitler|B95.5
streptococc|B95.5
Staphylococcus aureus som årsak til sykdommer klassifisert i andre kapitler|B95.6
gule stafylokokker|B95.6
ssss|B95.6
staphylococcus aureus|B95.6
Andre spesifiserte stafylokokker som årsak til sykdommer klassifisert i andre kapitler|B95.7
stafylococc|B95.7
Uspesifiserte stafylokokker som årsak til sykdommer klassifisert i andre kapitler|B95.8
stafylococc|B95.8
Andre spesifiserte bakterier som årsak til sykdommer klassifisert i andre kapitler|B96
Mycoplasma pneumoniae[M. pneumoniae] som årsak til sykdommer klassifisert i andre kapitler|B96.0
lungebetennelse|B96.0
Klebsiella pneumoniae[K. pneumoniae] som årsak til sykdommer klassifisert i andre kapitler|B96.1
lungebetennelse|B96.1
Escherichia coli[E. coli] som årsak til sykdommer klassifisert i andre kapitler|B96.2
e coli|B96.2
Haemophilus influenzae[H. influenzae] som årsak til sykdommer klassifisert i andre kapitler|B96.3
Proteusgruppens mikroorganismer som årsak til sykdommer klassifisert i andre kapitler|B96.4
Pseudomonas (aeruginosa) som årsak til sykdommer klassifisert i andre kapitler|B96.5
mrsa|B96.5
pseudomonas aeruginosa|B96.5
Bacillus fragilis[B. fragilis] som årsak til sykdommer klassifisert i andre kapitler|B96.6
Cl
